Title,Date Created,Latitude,Longitude,Northing,Easting,Pela,Mosquero,Cabecinegro,Arepo,Palo_Santo,Cruceto,interior,exterior,Elevation
Punto 1,2024-09-18T14:50:39-05:00,3.2364191,-75.16204115,0,0,,,,,,,,,0
Punto 2,2024-09-18T15:37:34-05:00,3.23706765,-75.16143655,0,0,,,,,,,,,439.289398
Punto 3,2024-09-18T15:41:00-05:00,3.23768339,-75.162068,0,0,,,,,,,,,435.894989
Punto 4,2024-09-18T16:14:56-05:00,3.23703584,-75.16269427,0,0,,,,,,,,,435.741486
Punto 5,2024-09-18T16:32:31-05:00,3.236443218,-75.16202416,0,0,,,,,,,,,436.286591
Ladera,2024-09-19T07:22:17-05:00,3.23657634,-75.1618694,0,0,0,0,0,0,0,0,72,0,0
Suelo,2024-09-19T07:37:35-05:00,3.236424041,-75.16199409,0,0,0,0,0,0,0,0,4,,436.538605
Suelo,2024-09-19T07:40:50-05:00,3.23650282,-75.16194222,0,0,1,0,0,0,0,0,12,12,436.613861
Planta,2024-09-19T07:44:27-05:00,3.23648105,-75.16196987,0,0,5,0,0,0,0,0,,,0
Planta,2024-09-19T07:48:52-05:00,3.23664441,-75.16182794,0,0,0,0,0,0,1,1,9.5,,437.338379
Planta,2024-09-19T07:52:07-05:00,3.23669085,-75.16179388,0,0,0,0,0,0,1,1,1,,437.578918
Suelo,2024-09-19T07:53:12-05:00,3.23676681,-75.16170264,0,0,0,0,0,0,0,0,16,,438.297668
Suelo,2024-09-19T07:54:27-05:00,3.23684337,-75.1616389,0,0,0,0,0,0,0,0,14,,438.600159
Planta,2024-09-19T07:55:51-05:00,3.23691736,-75.16159853,0,0,0,0,0,0,0,1,3,33,438.612
Suelo,2024-09-19T07:58:21-05:00,3.23697707,-75.16148511,0,0,0,0,0,0,0,0,47,,439.230438
Suelo,2024-09-19T08:02:06-05:00,3.23705151,-75.16145823,0,0,0,0,0,0,0,0,1,,439.211517
Suelo,2024-09-19T08:04:46-05:00,3.237097523,-75.16150762,0,0,0,0,0,0,0,0,50,,438.82962
Planta,2024-09-19T08:08:02-05:00,3.23716331,-75.16154719,0,0,14,0,0,0,0,5,8,12,438.521332
Planta,2024-09-19T08:10:59-05:00,3.23705096,-75.1616293,0,0,33,0,0,0,0,0,14,20,438.217468
Planta,2024-09-19T08:12:45-05:00,3.23700948,-75.16165595,0,0,23,0,0,0,0,0,6,12,438.068115
Suelo,2024-09-19T08:14:10-05:00,3.23697621,-75.16172417,0,0,0,0,0,0,0,0,5,,437.60965
Suelo,2024-09-19T08:24:15-05:00,3.23688786,-75.16179246,0,0,0,0,0,0,0,0,5,,437.20575
Suelo,2024-09-19T08:26:17-05:00,3.23683192,-75.16184496,0,0,0,0,0,0,0,0,46,,436.861359
Suelo,2024-09-19T08:27:27-05:00,3.236715521,-75.16191156,0,0,0,0,0,0,0,0,37,,0
Planta,2024-09-19T08:28:40-05:00,3.23665785,-75.16200183,0,0,1,1,0,0,0,0,5,20,435.818604
Roca,2024-09-19T08:30:18-05:00,3.23659777,-75.16203908,0,0,0,0,0,0,0,0,31,,0
Suelo,2024-09-19T08:31:28-05:00,3.23653005,-75.16209268,0,0,0,0,0,0,0,0,8,,435.695709
Planta,2024-09-19T08:31:56-05:00,3.23649767,-75.16211497,0,0,2,0,0,0,0,1,6,15,435.621002
Planta,2024-09-19T08:41:11-05:00,3.23662479,-75.16229522,0,0,0,0,0,0,0,1,5,10,0
Planta,2024-09-19T08:43:33-05:00,3.236898285,-75.16201917,0,0,2,0,9,0,0,0,1,19,0
Planta,2024-09-19T08:45:25-05:00,3.23673969,-75.16219856,0,0,1,0,0,0,0,0,10,20,0
Planta,2024-09-19T08:46:33-05:00,3.23680303,-75.162157,0,0,0,0,16,2,0,0,6,27,435.610443
Planta,2024-09-19T08:51:26-05:00,3.23688479,-75.16214053,0,0,0,0,0,0,0,11,15,65,0
Planta,2024-09-19T08:54:21-05:00,3.23694608,-75.16205242,0,0,0,0,16,0,0,2,6,90,436.003601
Planta,2024-09-19T09:01:02-05:00,3.23697393,-75.16200639,0,0,0,0,0,0,0,3,6,34,436.082489
Suelo,2024-09-19T09:02:58-05:00,3.23702079,-75.16191422,0,0,0,0,0,0,0,0,27,,436.462555
Suelo,2024-09-19T09:04:27-05:00,3.237076793,-75.16185055,0,0,0,0,0,0,0,0,23,,436.991425
Suelo,2024-09-19T09:05:43-05:00,3.23713814,-75.16177877,0,0,0,0,0,0,0,0,12,,437.474274
